pc_id,size,annotated,keys
PC_01705,7,7.0,hypothetical_protein (7)
PC_01706,7,7.0,terminase_small_subunit (7)
PC_01707,7,7.0,DNA_methyltransferase (6); hypothetical_protein (1)
PC_01708,7,7.0,hypothetical_protein (7)
PC_01709,7,7.0,hypothetical_protein (3); tail_spike_protein (1); tail_protein (2); tail_fiber_protein (1)
PC_01710,7,7.0,endolysin (5); amidase (2)
PC_01711,7,7.0,ATP-dependent_DNA_ligase (7)
PC_01712,7,7.0,thymidylate_synthase (7)
PC_01713,7,7.0,virion_structural_protein (7)
PC_01714,7,7.0,minor_tail_protein (7)
PC_01715,7,7.0,endonuclease_VII (6); hypothetical_protein (1)
PC_01716,7,7.0,lysozyme_domain-containing_protein (7)
PC_01717,7,7.0,major_head_protein (7)
PC_01718,7,7.0,tail_length_tape_measure_protein (7)
PC_01719,7,7.0,DNA_methyltransferase (7)
PC_01720,7,7.0,hypothetical_protein (7)
PC_01721,7,7.0,major_head_protein (7)
PC_01722,7,7.0,virion_structural_protein (7)
PC_01723,7,7.0,minor_tail_protein (7)
PC_01724,7,7.0,baseplate_protein (7)
PC_01725,7,7.0,virion_structural_protein (7)
PC_01726,7,7.0,hypothetical_protein (7)
PC_01727,7,7.0,DNA_methyltransferase (7)
PC_01728,7,7.0,distal_tail_protein_Dit (7)
PC_01729,7,7.0,hypothetical_protein (7)
PC_01730,7,7.0,terminase_small_subunit (7)
PC_01731,7,7.0,hypothetical_protein (7)
PC_01732,7,7.0,hypothetical_protein (3); endonuclease_VII (4)
PC_01733,7,7.0,RusA-like_Holliday_junction_resolvase (7)
PC_01734,7,7.0,hypothetical_protein (7)
PC_01735,7,7.0,hypothetical_protein (7)
PC_01736,7,7.0,minor_head_protein (7)
PC_01737,7,7.0,hypothetical_protein (7)
PC_01738,7,7.0,portal_protein (7)
PC_01739,7,7.0,head_closure_Hc1 (7)
PC_01740,7,7.0,tail_terminator (7)
PC_01741,7,7.0,major_tail_protein (7)
PC_01742,7,7.0,DNA_polymerase/primase (1); DNA_primase (6)
PC_01743,7,7.0,hypothetical_protein (4); tail_fiber_protein (3)
PC_01744,7,7.0,hypothetical_protein (7)
PC_01745,7,7.0,hypothetical_protein (7)
PC_01746,7,7.0,hypothetical_protein (7)
PC_01747,7,7.0,protease (7)
PC_01748,7,7.0,major_head_protein (7)
PC_01749,7,7.0,hypothetical_protein (7)
PC_01750,7,7.0,holin (7)
PC_01751,7,7.0,hypothetical_protein (7)
PC_01752,7,7.0,hypothetical_protein (7)
PC_01753,7,7.0,hypothetical_protein (7)
PC_01754,7,7.0,head_maturation_protease (7)
PC_01755,7,7.0,hypothetical_protein (7)
PC_01756,7,7.0,Holliday_junction_resolvase (7)
PC_01757,7,7.0,hypothetical_protein (7)
PC_01758,7,7.0,RNA_polymerase_beta_subunit (6); hypothetical_protein (1)
PC_01759,7,7.0,RNA_polymerase_beta_subunit (7)
PC_01760,7,7.0,tail_assembly_chaperone (7)
PC_01761,7,7.0,tail_assembly_chaperone (7)
PC_01762,7,7.0,hypothetical_protein (7)
PC_01763,7,7.0,hypothetical_protein (7)
PC_01764,7,7.0,head_closure_Hc1 (7)
PC_01765,7,7.0,major_tail_protein (7)
PC_01766,7,7.0,hypothetical_protein (7)
PC_01767,7,7.0,tail_length_tape_measure_protein (7)
PC_01768,7,7.0,hypothetical_protein (7)
PC_01769,7,7.0,hypothetical_protein (7)
PC_01770,7,7.0,hypothetical_protein (7)
PC_01771,7,7.0,hypothetical_protein (7)
PC_01772,7,7.0,HNH_endonuclease (7)
PC_01773,7,7.0,hypothetical_protein (6); transcriptional_repressor (1)
PC_01774,7,7.0,portal_protein (7)
PC_01775,7,7.0,hypothetical_protein (7)
PC_01776,7,7.0,hypothetical_protein (7)
PC_01777,7,7.0,hypothetical_protein (7)
PC_01778,7,7.0,ATP-dependent_protease (7)
PC_01779,7,7.0,hypothetical_protein (7)
PC_01780,7,7.0,hypothetical_protein (7)
PC_01781,7,7.0,hypothetical_protein (7)
PC_01782,7,7.0,hypothetical_protein (7)
PC_01783,7,7.0,DNA_methyltransferase (6); hypothetical_protein (1)
PC_01784,6,6.0,hypothetical_protein (1); beta-glucosyl-HMC-alpha-glucosyltransferase (5)
PC_01785,6,6.0,hypothetical_protein (6)
PC_01786,6,6.0,replication_initiation_protein (6)
PC_01787,6,6.0,DnaB-like_replicative_helicase (6)
PC_01788,6,6.0,pilot_protein_for_DNA_ejection (5); hypothetical_protein (1)
PC_01789,6,6.0,hypothetical_protein (6)
PC_01790,6,6.0,hypothetical_protein (6)
PC_01791,6,6.0,hypothetical_protein (6)
PC_01792,6,6.0,hypothetical_protein (6)
PC_01793,6,6.0,hypothetical_protein (6)
PC_01794,6,6.0,hypothetical_protein (6)
PC_01795,6,6.0,ParB-like_partition_protein (6)
PC_01796,6,6.0,hypothetical_protein (6)
PC_01797,6,6.0,ParB-like_partition_protein (6)
PC_01798,6,6.0,hypothetical_protein (6)
PC_01799,6,6.0,hypothetical_protein (6)
PC_01800,6,6.0,hypothetical_protein (6)
PC_01801,6,6.0,CII-like_transcriptional_activator (6)
PC_01802,6,6.0,hypothetical_protein (6)
PC_01803,6,6.0,DNA_methyltransferase (6)
PC_01804,6,6.0,DNA_helicase (6)
PC_01805,6,6.0,hypothetical_protein (6)
PC_01806,6,6.0,tail_fiber_protein (5); tail_protein (1)
PC_01807,6,6.0,hypothetical_protein (6)
PC_01808,6,6.0,transcriptional_repressor (5); hypothetical_protein (1)
PC_01809,6,6.0,hypothetical_protein (5); transcriptional_repressor (1)
PC_01810,6,6.0,hypothetical_protein (6)
PC_01811,6,6.0,hypothetical_protein (6)
PC_01812,6,6.0,hypothetical_protein (6)
PC_01813,6,6.0,hypothetical_protein (6)
PC_01814,6,6.0,hypothetical_protein (6)
PC_01815,6,6.0,hypothetical_protein (6)
PC_01816,6,6.0,hypothetical_protein (6)
PC_01817,6,6.0,hypothetical_protein (6)
PC_01818,6,6.0,polynucleotide_kinase (5); hypothetical_protein (1)
PC_01819,6,6.0,tail_sheath (6)
PC_01820,6,6.0,hypothetical_protein (6)
PC_01821,6,6.0,hypothetical_protein (6)
PC_01822,6,6.0,hypothetical_protein (6)
PC_01823,6,6.0,hypothetical_protein (6)
PC_01824,6,6.0,hypothetical_protein (6)
PC_01825,6,6.0,hypothetical_protein (6)
PC_01826,6,6.0,hypothetical_protein (6)
PC_01827,6,6.0,short_tail_fiber_protein (5); hypothetical_protein (1)
PC_01828,6,6.0,tail_protein (5); DNA_circularization (1)
PC_01829,6,6.0,hypothetical_protein (6)
PC_01830,6,6.0,tail_fiber_protein (5); hypothetical_protein (1)
PC_01831,6,6.0,ATP-dependent_DNA_ligase (6)
PC_01832,6,6.0,ATP-dependent_DNA_ligase (6)
PC_01833,6,6.0,lipoprotein (6)
PC_01834,6,6.0,hypothetical_protein (6)
PC_01835,6,6.0,hypothetical_protein (6)
PC_01836,6,6.0,hypothetical_protein (6)
PC_01837,6,6.0,hypothetical_protein (6)
PC_01838,6,6.0,hypothetical_protein (6)
PC_01839,6,6.0,hypothetical_protein (6)
PC_01840,6,6.0,hypothetical_protein (6)
PC_01841,6,6.0,hypothetical_protein (6)
PC_01842,6,6.0,hypothetical_protein (6)
PC_01843,6,6.0,hypothetical_protein (6)
PC_01844,6,6.0,hypothetical_protein (6)
PC_01845,6,6.0,hypothetical_protein (6)
PC_01846,6,6.0,hypothetical_protein (6)
PC_01847,6,6.0,Doc-like_toxin (6)
PC_01848,6,6.0,hypothetical_protein (6)
PC_01849,6,6.0,hypothetical_protein (6)
PC_01850,6,6.0,hypothetical_protein (6)
PC_01851,6,6.0,hypothetical_protein (6)
PC_01852,6,6.0,hypothetical_protein (6)
PC_01853,6,6.0,partition_protein_ATPase (3); hypothetical_protein (3)
PC_01854,6,6.0,ParB-like_partition_protein (6)
PC_01855,6,6.0,DNA_polymerase_processivity_factor (6)
PC_01856,6,6.0,Sak-like_ssDNA_annealing_protein (6)
PC_01857,6,6.0,hypothetical_protein (6)
PC_01858,6,6.0,baseplate_protein (1); hypothetical_protein (5)
PC_01859,6,6.0,hypothetical_protein (6)
PC_01860,6,6.0,virion_structural_protein (6)
PC_01861,6,6.0,hypothetical_protein (6)
PC_01862,6,6.0,hypothetical_protein (6)
PC_01863,6,6.0,released_from_the_phage_upon_host_infection (2); hypothetical_protein (4)
PC_01864,6,6.0,tail_fiber_protein (6)
PC_01865,6,6.0,hypothetical_protein (6)
PC_01866,6,6.0,portal_protein (6)
PC_01867,6,6.0,hypothetical_protein (6)
PC_01868,6,6.0,hypothetical_protein (6)
PC_01869,6,6.0,tail_protein (6)
PC_01870,6,6.0,tail_fiber_protein (6)
PC_01871,6,6.0,hypothetical_protein (6)
PC_01872,6,6.0,tail_assembly_chaperone (6)
PC_01873,6,6.0,tail_completion_or_Neck1_protein (6)
PC_01874,6,6.0,head-tail_adaptor_Ad1 (6)
PC_01875,6,6.0,endonuclease (6)
PC_01876,6,6.0,hypothetical_protein (6)
PC_01877,6,6.0,hypothetical_protein (6)
PC_01878,6,6.0,hypothetical_protein (6)
PC_01879,6,6.0,hypothetical_protein (6)
PC_01880,6,6.0,head_morphogenesis (2); hypothetical_protein (4)
PC_01881,6,6.0,hypothetical_protein (6)
PC_01882,6,6.0,hypothetical_protein (6)
PC_01883,6,6.0,hypothetical_protein (6)
PC_01884,6,6.0,toxin (6)
PC_01885,6,6.0,hypothetical_protein (6)
PC_01886,6,6.0,portal_protein (6)
PC_01887,6,6.0,lytic_tail_protein (6)
PC_01888,6,6.0,hypothetical_protein (6)
PC_01889,6,6.0,hypothetical_protein (6)
PC_01890,6,6.0,hypothetical_protein (6)
PC_01891,6,6.0,hypothetical_protein (3); terminase_small_subunit (3)
PC_01892,6,6.0,hypothetical_protein (6)
PC_01893,6,6.0,tail_protein (1); tail_fiber_protein (1); hypothetical_protein (4)
PC_01894,6,6.0,hypothetical_protein (6)
PC_01895,6,6.0,hypothetical_protein (6)
PC_01896,6,6.0,tail_protein (6)
PC_01897,6,6.0,head_closure (6)
PC_01898,6,6.0,hypothetical_protein (6)
PC_01899,6,6.0,tail_completion_or_Neck1_protein (6)
PC_01900,6,6.0,head_decoration (6)
PC_01901,6,6.0,hypothetical_protein (6)
PC_01902,6,6.0,hypothetical_protein (6)
PC_01903,6,6.0,hypothetical_protein (1); replication_initiation_protein (4); DnaD-like_helicase_loader (1)
PC_01904,6,6.0,superinfection_exclusion (6)
PC_01905,6,6.0,hypothetical_protein (6)
PC_01906,6,6.0,transcriptional_repressor (5); transcriptional_regulator (1)
PC_01907,6,6.0,hypothetical_protein (6)
PC_01908,6,6.0,hypothetical_protein (6)
PC_01909,6,6.0,DNA_polymerase (6)
PC_01910,6,6.0,hypothetical_protein (6)
PC_01911,6,6.0,hypothetical_protein (6)
PC_01912,6,6.0,hypothetical_protein (6)
PC_01913,6,6.0,hypothetical_protein (6)
PC_01914,6,6.0,hypothetical_protein (6)
PC_01915,6,6.0,baseplate_wedge_subunit (6)
PC_01916,6,6.0,hypothetical_protein (6)
PC_01917,6,6.0,hypothetical_protein (6)
PC_01918,6,6.0,hypothetical_protein (6)
PC_01919,6,6.0,hypothetical_protein (6)
PC_01920,6,6.0,hypothetical_protein (6)
PC_01921,6,6.0,hypothetical_protein (6)
PC_01922,6,6.0,hypothetical_protein (6)
PC_01923,6,6.0,major_head_protein (6)
PC_01924,6,6.0,hypothetical_protein (6)
PC_01925,6,6.0,hypothetical_protein (6)
PC_01926,6,6.0,hypothetical_protein (6)
PC_01927,6,6.0,hypothetical_protein (6)
PC_01928,6,6.0,hypothetical_protein (6)
PC_01929,6,6.0,hypothetical_protein (6)
PC_01930,6,6.0,hypothetical_protein (6)
PC_01931,6,6.0,DNA_polymerase (6)
PC_01932,6,6.0,DNA_polymerase (6)
PC_01933,6,6.0,hypothetical_protein (6)
PC_01934,6,6.0,anti-termination_protein_Q-like_protein (3); hypothetical_protein (3)
PC_01935,6,6.0,head-tail_adaptor (6)
PC_01936,6,6.0,hypothetical_protein (1); ParA-like_partition_protein (5)
PC_01937,6,6.0,endolysin (6)
PC_01938,6,6.0,terminase_small_subunit (6)
PC_01939,6,6.0,tail_fiber_protein (3); hypothetical_protein (2); tail_protein (1)
PC_01940,6,6.0,hypothetical_protein (6)
PC_01941,6,6.0,virion_structural_protein (6)
PC_01942,6,6.0,HNH_endonuclease (4); hypothetical_protein (2)
PC_01943,6,6.0,hypothetical_protein (6)
PC_01944,6,6.0,hypothetical_protein (6)
PC_01945,6,6.0,hypothetical_protein (6)
PC_01946,6,6.0,hypothetical_protein (6)
PC_01947,6,6.0,hypothetical_protein (6)
PC_01948,6,6.0,hypothetical_protein (6)
PC_01949,6,6.0,hypothetical_protein (6)
PC_01950,6,6.0,hypothetical_protein (6)
PC_01951,6,6.0,head_assembly (6)
PC_01952,6,6.0,hypothetical_protein (6)
PC_01953,6,6.0,hypothetical_protein (6)
PC_01954,6,6.0,tail_completion_or_Neck1_protein (6)
PC_01955,6,6.0,hypothetical_protein (6)
PC_01956,6,6.0,hypothetical_protein (6)
PC_01957,6,6.0,Gp2.5-like_ssDNA_binding_protein_and_ssDNA_annealing_protein (6)
PC_01958,6,6.0,hypothetical_protein (6)
PC_01959,6,6.0,hypothetical_protein (6)
PC_01960,6,6.0,endolysin (6)
PC_01961,6,6.0,tail_assembly_chaperone (6)
PC_01962,6,6.0,RNA_polymerase_beta_subunit (6)
PC_01963,6,6.0,hypothetical_protein (6)
PC_01964,6,6.0,hypothetical_protein (6)
PC_01965,6,6.0,head_protein (6)
PC_01966,6,6.0,head-tail_adaptor_Ad1 (6)
PC_01967,6,6.0,tail_terminator (6)
PC_01968,6,6.0,hypothetical_protein (6)
PC_01969,6,6.0,major_head_protein (6)
PC_01970,6,6.0,hypothetical_protein (6)
PC_01971,6,6.0,hypothetical_protein (6)
PC_01972,6,6.0,head_scaffolding_protein (6)
PC_01973,6,6.0,minor_head_protein (6)
PC_01974,6,6.0,DNA_primase (6)
PC_01975,6,6.0,hypothetical_protein (6)
PC_01976,6,6.0,hypothetical_protein (6)
PC_01977,6,6.0,hypothetical_protein (6)
PC_01978,6,6.0,hypothetical_protein (6)
PC_01979,6,6.0,hypothetical_protein (2); transposase (4)
PC_01980,6,6.0,hypothetical_protein (6)
PC_01981,6,6.0,hypothetical_protein (6)
PC_01982,6,6.0,hypothetical_protein (6)
PC_01983,6,6.0,Dda-like_helicase (3); exonuclease_V (3)
PC_01984,6,6.0,DNA_polymerase (6)
PC_01985,6,6.0,hypothetical_protein (6)
PC_01986,6,6.0,hypothetical_protein (6)
PC_01987,6,6.0,hypothetical_protein (6)
PC_01988,6,6.0,exonuclease (6)
PC_01989,6,6.0,hypothetical_protein (4); minor_head_protein (2)
PC_01990,6,6.0,hypothetical_protein (6)
PC_01991,6,6.0,hypothetical_protein (6)
PC_01992,6,6.0,hypothetical_protein (6)
PC_01993,6,6.0,internal_virion_protein_with_endolysin_domain_protein (6)
PC_01994,6,6.0,hypothetical_protein (6)
PC_01995,6,6.0,hypothetical_protein (6)
PC_01996,6,6.0,hypothetical_protein (6)
PC_01997,6,6.0,hypothetical_protein (6)
PC_01998,6,6.0,hypothetical_protein (6)
PC_01999,6,6.0,hypothetical_protein (6)
PC_02000,6,6.0,hypothetical_protein (6)
PC_02001,6,6.0,hypothetical_protein (6)
PC_02002,6,6.0,hypothetical_protein (6)
PC_02003,6,6.0,hypothetical_protein (6)
PC_02004,6,6.0,replication_initiation_protein (1); replication_protein (3); hypothetical_protein (2)
PC_02005,6,6.0,terminase_large_subunit (6)
PC_02006,6,6.0,hypothetical_protein (6)
PC_02007,6,6.0,virion_structural_protein (6)
PC_02008,6,6.0,hypothetical_protein (6)
PC_02009,6,6.0,hypothetical_protein (6)
PC_02010,6,6.0,hypothetical_protein (6)
PC_02011,6,6.0,hypothetical_protein (6)
PC_02012,6,6.0,Erf-like_ssDNA_annealing_protein (5); hypothetical_protein (1)
PC_02013,6,6.0,tail_fiber_protein (6)
PC_02014,6,6.0,immunity_to_superinfection (6)
PC_02015,6,6.0,hypothetical_protein (6)
PC_02016,6,6.0,terminase_large_subunit (5); hypothetical_protein (1)
PC_02017,6,6.0,anti-repressor_Ant (6)
PC_02018,6,6.0,structural_protein (6)
PC_02019,6,6.0,endolysin (6)
PC_02020,6,6.0,hypothetical_protein (6)
PC_02021,6,6.0,hypothetical_protein (6)
PC_02022,6,6.0,hypothetical_protein (6)
PC_02023,6,6.0,hypothetical_protein (6)
PC_02024,6,6.0,DNA_ejection (6)
PC_02025,6,6.0,head_closure_Hc3 (6)
PC_02026,6,6.0,DksA-like_zinc-finger_protein (6)
PC_02027,6,6.0,hypothetical_protein (5); virion_structural_protein (1)
PC_02028,6,6.0,polynucleotide_kinase (5); polynucleotide_kinase/phosphorylase (1)
PC_02029,6,6.0,phosphatase (6)
PC_02030,6,6.0,DNA_polymerase (6)
PC_02031,6,6.0,tail_tube (5); tail_tube_protein (1)
PC_02032,6,6.0,tail_protein (6)
PC_02033,6,6.0,anti-termination_protein_Q-like_protein (6)
PC_02034,6,6.0,hypothetical_protein (4); transcriptional_regulator (2)
PC_02035,6,6.0,EPS_depolymerase (4); tail_fiber_protein (2)
PC_02036,6,6.0,tail_protein (1); tail_spike_protein (4); hypothetical_protein (1)
PC_02037,6,6.0,terminase_small_subunit (6)
PC_02038,6,6.0,internal_virion_protein_with_endolysin_domain_protein (6)
PC_02039,6,6.0,hypothetical_protein (6)
PC_02040,6,6.0,RNaseH (6)
PC_02041,6,6.0,hypothetical_protein (6)
PC_02042,6,6.0,nucleotidyltransferase (6)
PC_02043,6,6.0,hypothetical_protein (6)
PC_02044,6,6.0,hypothetical_protein (6)
PC_02045,6,6.0,hypothetical_protein (6)
PC_02046,6,6.0,homing_endonuclease (6)
PC_02047,6,6.0,holin (6)
PC_02048,6,6.0,Hoc-like_head_decoration (6)
PC_02049,6,6.0,head_scaffolding_protein (6)
PC_02050,6,6.0,hypothetical_protein (3); virion_structural_protein (3)
PC_02051,6,6.0,tail_terminator (6)
PC_02052,6,6.0,minor_tail_protein (6)
PC_02053,6,6.0,hypothetical_protein (6)
PC_02054,6,6.0,hypothetical_protein (6)
PC_02055,6,6.0,thymidylate_synthase (6)
PC_02056,6,6.0,hypothetical_protein (6)
PC_02057,6,6.0,hypothetical_protein (5); DNA_ejection_protein (1)
PC_02058,6,6.0,head-tail_adaptor_Ad3 (6)
PC_02059,6,6.0,hypothetical_protein (6)
PC_02060,6,6.0,endolysin (6)
PC_02061,6,6.0,hypothetical_protein (6)
PC_02062,6,6.0,hypothetical_protein (6)
PC_02063,6,6.0,tail_protein_with_endopeptidase_domain_protein (6)
PC_02064,6,6.0,distal_tail_protein_Dit (6)
PC_02065,6,6.0,hypothetical_protein (6)
PC_02066,6,6.0,major_tail_protein (6)
PC_02067,6,6.0,minor_head_protein (6)
PC_02068,6,6.0,hypothetical_protein (4); minor_head_protein (2)
PC_02069,6,6.0,head-tail_adaptor (6)
PC_02070,6,6.0,head-tail_adaptor (6)
PC_02071,6,6.0,head_scaffolding_protein (6)
PC_02072,6,6.0,hypothetical_protein (6)
PC_02073,6,6.0,tail_fiber_protein (4); hypothetical_protein (1); endolysin (1)
PC_02074,6,6.0,head_scaffolding_protein (6)
PC_02075,6,6.0,metallo-phosphoesterase (6)
PC_02076,6,6.0,nucleotide_pyrophosphohydrolase (6)
PC_02077,6,6.0,tail_assembly_chaperone (6)
PC_02078,6,6.0,hypothetical_protein (6)
PC_02079,6,6.0,terminase_large_subunit (6)
PC_02080,6,6.0,terminase_large_subunit (6)
PC_02081,6,6.0,holin (6)
PC_02082,6,6.0,hypothetical_protein (6)
PC_02083,6,6.0,NrdD-like_anaerobic_ribonucleotide_reductase_large_subunit (6)
PC_02084,6,6.0,portal_protein (6)
PC_02085,6,6.0,hypothetical_protein (6)
PC_02086,6,6.0,Sak4-like_ssDNA_annealing_protein (6)
PC_02087,6,6.0,hypothetical_protein (6)
PC_02088,6,6.0,hypothetical_protein (6)
PC_02089,6,6.0,holin (6)
PC_02090,6,6.0,hypothetical_protein (6)
PC_02091,6,6.0,DNA_methyltransferase (6)
PC_02092,6,6.0,hypothetical_protein (2); anti-repressor_Ant (4)
PC_02093,6,6.0,terminase_small_subunit (6)
PC_02094,6,6.0,hypothetical_protein (6)
PC_02095,6,6.0,hypothetical_protein (6)
PC_02096,6,6.0,RNA_polymerase_beta_subunit (6)
PC_02097,6,6.0,HNH_endonuclease (6)
PC_02098,6,6.0,hypothetical_protein (6)
PC_02099,6,6.0,hypothetical_protein (6)
PC_02100,6,6.0,unknown_function (6)
PC_02101,6,6.0,glucosyltransferase (6)
PC_02102,6,6.0,major_tail_protein (6)
PC_02103,6,6.0,RecE-like_recombination_exonuclease (6)
PC_02104,6,6.0,hypothetical_protein (6)
PC_02105,6,6.0,hypothetical_protein (6)
PC_02106,6,6.0,hypothetical_protein (6)
PC_02107,6,6.0,hypothetical_protein (6)
PC_02108,6,6.0,hypothetical_protein (6)
PC_02109,6,6.0,DNA_polymerase/primase (6)
PC_02110,6,6.0,hypothetical_protein (6)
PC_02111,6,6.0,hypothetical_protein (3); Ref-like_RecA_filament_endonuclease (3)
PC_02112,6,6.0,RNA_ligase (5); hypothetical_protein (1)
PC_02113,6,6.0,hypothetical_protein (6)
PC_02114,6,6.0,RNA_polymerase_beta_subunit (6)
PC_02115,6,6.0,hypothetical_protein (6)
PC_02116,6,6.0,hypothetical_protein (6)
PC_02117,6,6.0,tail_protein (5); hypothetical_protein (1)
PC_02118,6,6.0,minor_tail_protein (6)
PC_02119,6,6.0,hypothetical_protein (6)
PC_02120,6,6.0,hypothetical_protein (6)
PC_02121,6,6.0,hypothetical_protein (6)
PC_02122,6,6.0,hypothetical_protein (6)
PC_02123,6,6.0,hypothetical_protein (6)
PC_02124,6,6.0,hypothetical_protein (6)
PC_02125,6,6.0,hypothetical_protein (6)
PC_02126,6,6.0,hypothetical_protein (6)
PC_02127,6,6.0,head-tail_adaptor_Ad1 (4); hypothetical_protein (2)
PC_02128,6,6.0,hypothetical_protein (6)
PC_02129,6,6.0,hypothetical_protein (6)
PC_02130,6,6.0,hypothetical_protein (6)
PC_02131,6,6.0,hypothetical_protein (6)
PC_02132,6,6.0,tail_completion_or_Neck1_protein (6)
PC_02133,6,6.0,hypothetical_protein (6)
PC_02134,6,6.0,late_transcriptional_activator (5); hypothetical_protein (1)
PC_02135,6,6.0,hypothetical_protein (6)
PC_02136,6,6.0,hypothetical_protein (6)
PC_02137,6,6.0,holin (6)
PC_02138,6,6.0,hypothetical_protein (6)
PC_02139,6,6.0,hypothetical_protein (6)
PC_02140,6,6.0,hypothetical_protein (6)
PC_02141,6,6.0,hypothetical_protein (6)
PC_02142,6,6.0,hypothetical_protein (6)
PC_02143,6,6.0,hypothetical_protein (6)
PC_02144,6,6.0,portal_protein (6)
PC_02145,6,6.0,tail_protein (6)
PC_02146,6,6.0,HNH_endonuclease (6)
PC_02147,6,6.0,head-tail_adaptor_Ad1 (6)
PC_02148,6,6.0,hypothetical_protein (6)
PC_02149,6,6.0,hypothetical_protein (6)
PC_02150,6,6.0,hypothetical_protein (6)
PC_02151,6,6.0,hypothetical_protein (6)
PC_02152,6,6.0,hypothetical_protein (6)
PC_02153,6,6.0,RNA_polymerase_beta_subunit (5); RNA_polymerase (1)
PC_02154,6,6.0,MazG-like_pyrophosphatase (3); hypothetical_protein (3)
PC_02155,6,6.0,virion_structural_protein (6)
PC_02156,6,6.0,virion_structural_protein (6)
PC_02157,6,6.0,NinB/_Orf_homologous_recombination_mediator (6)
PC_02158,6,6.0,major_head_protein (6)
PC_02159,6,6.0,hypothetical_protein (6)
PC_02160,6,6.0,hypothetical_protein (6)
PC_02161,6,6.0,hypothetical_protein (6)
PC_02162,6,6.0,hypothetical_protein (6)
PC_02163,6,6.0,hypothetical_protein (6)
PC_02164,6,6.0,hypothetical_protein (6)
PC_02165,5,5.0,hypothetical_protein (5)
PC_02166,5,5.0,hypothetical_protein (5)
PC_02167,5,5.0,replication_initiation_protein (5)
PC_02168,5,5.0,hypothetical_protein (5)
PC_02169,5,5.0,hypothetical_protein (5)
PC_02170,5,5.0,Erf-like_ssDNA_annealing_protein (5)
PC_02171,5,5.0,ParB-like_partition_protein (5)
PC_02172,5,5.0,hypothetical_protein (5)
PC_02173,5,5.0,terminase_large_subunit (3); hypothetical_protein (2)
PC_02174,5,5.0,hypothetical_protein (5)
PC_02175,5,5.0,hypothetical_protein (5)
PC_02176,5,5.0,hypothetical_protein (5)
PC_02177,5,5.0,hypothetical_protein (5)
PC_02178,5,5.0,transcriptional_repressor (5)
PC_02179,5,5.0,DNA_helicase (4); hypothetical_protein (1)
PC_02180,5,5.0,integrase (5)
PC_02181,5,5.0,hypothetical_protein (5)
PC_02182,5,5.0,endolysin (5)
PC_02183,5,5.0,hypothetical_protein (5)
PC_02184,5,5.0,hypothetical_protein (5)
PC_02185,5,5.0,hypothetical_protein (5)
PC_02186,5,5.0,RNA_ligase (4); RNA_ligase_and_tail_fiber_protein_attachment_catalyst (1)
PC_02187,5,5.0,hypothetical_protein (5)
PC_02188,5,5.0,hypothetical_protein (5)
PC_02189,5,5.0,transglycosylase (5)
PC_02190,5,5.0,hypothetical_protein (5)
PC_02191,5,5.0,hypothetical_protein (5)
PC_02192,5,5.0,hypothetical_protein (5)
PC_02193,5,5.0,major_head_protein (5)
PC_02194,5,5.0,hypothetical_protein (5)
PC_02195,5,5.0,hypothetical_protein (5)
PC_02196,5,5.0,hypothetical_protein (5)
PC_02197,5,5.0,portal_protein (3); hypothetical_protein (2)
PC_02198,5,5.0,DnaB-like_replicative_helicase (5)
PC_02199,5,5.0,hypothetical_protein (5)
PC_02200,5,5.0,hypothetical_protein (4); Rnase_E (1)
PC_02201,5,5.0,hypothetical_protein (5)
PC_02202,5,5.0,hypothetical_protein (5)
PC_02203,5,5.0,hypothetical_protein (5)
PC_02204,5,5.0,hypothetical_protein (5)
PC_02205,5,5.0,hypothetical_protein (5)
PC_02206,5,5.0,hypothetical_protein (5)
PC_02207,5,5.0,hypothetical_protein (5)
PC_02208,5,5.0,hypothetical_protein (5)
PC_02209,5,5.0,hypothetical_protein (5)
PC_02210,5,5.0,hypothetical_protein (5)
PC_02211,5,5.0,baseplate_protein (5)
PC_02212,5,5.0,tail_protein (5)
PC_02213,5,5.0,hypothetical_protein (5)
PC_02214,5,5.0,head-tail_adaptor_Ad1 (5)
PC_02215,5,5.0,tail_protein (5)
PC_02216,5,5.0,hypothetical_protein (5)
PC_02217,5,5.0,primosomal_protein (3); replication_initiation_O-like_protein (2)
PC_02218,5,5.0,hypothetical_protein (3); anti-repressor_Ant (2)
PC_02219,5,5.0,hypothetical_protein (5)
PC_02220,5,5.0,hypothetical_protein (5)
PC_02221,5,5.0,hypothetical_protein (3); terminase_large_subunit (2)
PC_02222,5,5.0,hypothetical_protein (5)
PC_02223,5,5.0,hypothetical_protein (5)
PC_02224,5,5.0,terminase (5)
PC_02225,5,5.0,terminase_small_subunit (5)
PC_02226,5,5.0,hypothetical_protein (5)
PC_02227,5,5.0,hypothetical_protein (5)
PC_02228,5,5.0,hypothetical_protein (1); portal_protein (4)
PC_02229,5,5.0,hypothetical_protein (5)
PC_02230,5,5.0,hypothetical_protein (5)
PC_02231,5,5.0,hypothetical_protein (1); virion_structural_protein (4)
PC_02232,5,5.0,hypothetical_protein (5)
PC_02233,5,5.0,hypothetical_protein (5)
PC_02234,5,5.0,deoxynucleoside_monophosphate_kinase (2); hypothetical_protein (3)
PC_02235,5,5.0,hypothetical_protein (5)
PC_02236,5,5.0,hypothetical_protein (5)
PC_02237,5,5.0,hypothetical_protein (5)
